Kategorie: Alle Kategorien

Woche,eating disorder: (Vereinigte Staaten)
2020-04-05,59
2020-04-12,62
2020-04-19,63
2020-04-26,72
2020-05-03,69
2020-05-10,69
2020-05-17,58
2020-05-24,60
2020-05-31,52
2020-06-07,60
2020-06-14,59
2020-06-21,63
2020-06-28,61
2020-07-05,66
2020-07-12,65
2020-07-19,73
2020-07-26,70
2020-08-02,64
2020-08-09,69
2020-08-16,64
2020-08-23,74
2020-08-30,63
2020-09-06,71
2020-09-13,73
2020-09-20,69
2020-09-27,70
2020-10-04,78
2020-10-11,73
2020-10-18,72
2020-10-25,70
2020-11-01,57
2020-11-08,78
2020-11-15,97
2020-11-22,79
2020-11-29,79
2020-12-06,83
2020-12-13,75
2020-12-20,56
2020-12-27,100
2021-01-03,68
2021-01-10,72
2021-01-17,64
2021-01-24,75
2021-01-31,73
2021-02-07,76
2021-02-14,75
2021-02-21,96
2021-02-28,86
2021-03-07,79
2021-03-14,80
2021-03-21,80
2021-03-28,82
2021-04-04,81
2021-04-11,80
2021-04-18,86
2021-04-25,81
2021-05-02,87
2021-05-09,83
2021-05-16,75
2021-05-23,74
2021-05-30,74
2021-06-06,74
2021-06-13,80
2021-06-20,76
2021-06-27,76
2021-07-04,70
2021-07-11,79
2021-07-18,85
2021-07-25,81
2021-08-01,75
2021-08-08,73
2021-08-15,68
2021-08-22,68
2021-08-29,63
2021-09-05,73
2021-09-12,70
2021-09-19,71
2021-09-26,75
2021-10-03,78
2021-10-10,75
2021-10-17,78
2021-10-24,78
2021-10-31,81
2021-11-07,89
2021-11-14,82
2021-11-21,80
2021-11-28,80
2021-12-05,82
2021-12-12,82
2021-12-19,63
2021-12-26,69
2022-01-02,78
2022-01-09,76
2022-01-16,71
2022-01-23,75
2022-01-30,77
2022-02-06,82
2022-02-13,81
2022-02-20,94
2022-02-27,81
2022-03-06,86
2022-03-13,86
2022-03-20,85
2022-03-27,89
2022-04-03,90
2022-04-10,84
2022-04-17,87
2022-04-24,89
2022-05-01,92
2022-05-08,92
2022-05-15,78
2022-05-22,72
2022-05-29,76
2022-06-05,74
2022-06-12,70
2022-06-19,74
2022-06-26,78
2022-07-03,71
2022-07-10,71
2022-07-17,76
2022-07-24,71
2022-07-31,76
2022-08-07,72
2022-08-14,67
2022-08-21,69
2022-08-28,68
2022-09-04,68
2022-09-11,73
2022-09-18,73
2022-09-25,76
2022-10-02,73
2022-10-09,75
2022-10-16,80
2022-10-23,85
2022-10-30,83
2022-11-06,81
2022-11-13,79
2022-11-20,70
2022-11-27,82
2022-12-04,86
2022-12-11,79
2022-12-18,67
2022-12-25,64
2023-01-01,68
2023-01-08,75
2023-01-15,74
2023-01-22,84
2023-01-29,77
2023-02-05,90
2023-02-12,74
2023-02-19,86
2023-02-26,99
2023-03-05,83
2023-03-12,78
2023-03-19,85
2023-03-26,81
2023-04-02,76
2023-04-09,81
2023-04-16,88
2023-04-23,82
2023-04-30,80
2023-05-07,72
2023-05-14,72
2023-05-21,70
2023-05-28,73
2023-06-04,70
2023-06-11,75
2023-06-18,69
2023-06-25,66
2023-07-02,67
2023-07-09,73
2023-07-16,69
2023-07-23,70
2023-07-30,68
2023-08-06,72
2023-08-13,70
2023-08-20,64
2023-08-27,64
2023-09-03,64
2023-09-10,68
2023-09-17,80
2023-09-24,78
2023-10-01,78
2023-10-08,75
2023-10-15,83
2023-10-22,84
2023-10-29,79
2023-11-05,79
2023-11-12,79
2023-11-19,69
2023-11-26,81
2023-12-03,87
2023-12-10,79
2023-12-17,67
2023-12-24,62
2023-12-31,65
2024-01-07,69
2024-01-14,71
2024-01-21,75
2024-01-28,77
2024-02-04,77
2024-02-11,79
2024-02-18,84
2024-02-25,87
2024-03-03,80
2024-03-10,86
2024-03-17,88
2024-03-24,83
2024-03-31,83
2024-04-07,83
2024-04-14,82
2024-04-21,84
2024-04-28,78
2024-05-05,81
2024-05-12,74
2024-05-19,70
2024-05-26,65
2024-06-02,71
2024-06-09,69
2024-06-16,66
2024-06-23,69
2024-06-30,64
2024-07-07,68
2024-07-14,67
2024-07-21,66
2024-07-28,68
2024-08-04,62
2024-08-11,63
2024-08-18,62
2024-08-25,60
2024-09-01,61
2024-09-08,66
2024-09-15,68
2024-09-22,71
2024-09-29,69
2024-10-06,76
2024-10-13,74
2024-10-20,76
2024-10-27,83
2024-11-03,74
2024-11-10,78
2024-11-17,84
2024-11-24,73
2024-12-01,84
2024-12-08,80
2024-12-15,68
2024-12-22,54
2024-12-29,57
2025-01-05,72
2025-01-12,69
2025-01-19,64
2025-01-26,68
2025-02-02,72
2025-02-09,79
2025-02-16,80
2025-02-23,86
2025-03-02,77
2025-03-09,75
2025-03-16,72
2025-03-23,75
2025-03-30,74
2025-04-06,80
