Kategorie: Alle Kategorien

Woche,obesity: (Vereinigte Staaten)
2020-04-12,67
2020-04-19,64
2020-04-26,62
2020-05-03,56
2020-05-10,47
2020-05-17,55
2020-05-24,42
2020-05-31,39
2020-06-07,41
2020-06-14,40
2020-06-21,42
2020-06-28,43
2020-07-05,42
2020-07-12,46
2020-07-19,45
2020-07-26,44
2020-08-02,45
2020-08-09,40
2020-08-16,38
2020-08-23,37
2020-08-30,54
2020-09-06,46
2020-09-13,49
2020-09-20,54
2020-09-27,60
2020-10-04,57
2020-10-11,47
2020-10-18,52
2020-10-25,49
2020-11-01,39
2020-11-08,48
2020-11-15,52
2020-11-22,41
2020-11-29,44
2020-12-06,47
2020-12-13,38
2020-12-20,29
2020-12-27,34
2021-01-03,38
2021-01-10,39
2021-01-17,42
2021-01-24,44
2021-01-31,45
2021-02-07,52
2021-02-14,46
2021-02-21,55
2021-02-28,60
2021-03-07,62
2021-03-14,55
2021-03-21,54
2021-03-28,47
2021-04-04,49
2021-04-11,55
2021-04-18,50
2021-04-25,49
2021-05-02,53
2021-05-09,43
2021-05-16,39
2021-05-23,38
2021-05-30,39
2021-06-06,43
2021-06-13,40
2021-06-20,38
2021-06-27,41
2021-07-04,38
2021-07-11,36
2021-07-18,37
2021-07-25,38
2021-08-01,39
2021-08-08,37
2021-08-15,40
2021-08-22,42
2021-08-29,42
2021-09-05,45
2021-09-12,55
2021-09-19,48
2021-09-26,50
2021-10-03,46
2021-10-10,45
2021-10-17,46
2021-10-24,48
2021-10-31,45
2021-11-07,46
2021-11-14,49
2021-11-21,35
2021-11-28,48
2021-12-05,49
2021-12-12,40
2021-12-19,30
2021-12-26,31
2022-01-02,46
2022-01-09,44
2022-01-16,41
2022-01-23,47
2022-01-30,47
2022-02-06,55
2022-02-13,55
2022-02-20,56
2022-02-27,57
2022-03-06,50
2022-03-13,46
2022-03-20,54
2022-03-27,60
2022-04-03,62
2022-04-10,54
2022-04-17,65
2022-04-24,68
2022-05-01,57
2022-05-08,50
2022-05-15,42
2022-05-22,41
2022-05-29,39
2022-06-05,44
2022-06-12,40
2022-06-19,49
2022-06-26,41
2022-07-03,41
2022-07-10,44
2022-07-17,43
2022-07-24,40
2022-07-31,41
2022-08-07,40
2022-08-14,41
2022-08-21,39
2022-08-28,42
2022-09-04,41
2022-09-11,44
2022-09-18,52
2022-09-25,48
2022-10-02,51
2022-10-09,52
2022-10-16,55
2022-10-23,52
2022-10-30,53
2022-11-06,48
2022-11-13,56
2022-11-20,39
2022-11-27,51
2022-12-04,54
2022-12-11,46
2022-12-18,34
2022-12-25,31
2023-01-01,45
2023-01-08,53
2023-01-15,49
2023-01-22,62
2023-01-29,59
2023-02-05,62
2023-02-12,56
2023-02-19,55
2023-02-26,60
2023-03-05,63
2023-03-12,54
2023-03-19,60
2023-03-26,50
2023-04-02,54
2023-04-09,55
2023-04-16,60
2023-04-23,58
2023-04-30,52
2023-05-07,46
2023-05-14,48
2023-05-21,46
2023-05-28,45
2023-06-04,49
2023-06-11,45
2023-06-18,41
2023-06-25,47
2023-07-02,43
2023-07-09,45
2023-07-16,45
2023-07-23,47
2023-07-30,45
2023-08-06,43
2023-08-13,44
2023-08-20,44
2023-08-27,43
2023-09-03,45
2023-09-10,48
2023-09-17,53
2023-09-24,53
2023-10-01,52
2023-10-08,54
2023-10-15,56
2023-10-22,53
2023-10-29,57
2023-11-05,60
2023-11-12,57
2023-11-19,42
2023-11-26,57
2023-12-03,63
2023-12-10,54
2023-12-17,38
2023-12-24,33
2023-12-31,37
2024-01-07,45
2024-01-14,50
2024-01-21,51
2024-01-28,54
2024-02-04,57
2024-02-11,52
2024-02-18,59
2024-02-25,63
2024-03-03,59
2024-03-10,53
2024-03-17,63
2024-03-24,56
2024-03-31,57
2024-04-07,60
2024-04-14,60
2024-04-21,64
2024-04-28,53
2024-05-05,50
2024-05-12,51
2024-05-19,80
2024-05-26,99
2024-06-02,100
2024-06-09,57
2024-06-16,52
2024-06-23,52
2024-06-30,47
2024-07-07,50
2024-07-14,48
2024-07-21,46
2024-07-28,45
2024-08-04,44
2024-08-11,44
2024-08-18,46
2024-08-25,47
2024-09-01,46
2024-09-08,49
2024-09-15,52
2024-09-22,56
2024-09-29,51
2024-10-06,56
2024-10-13,52
2024-10-20,57
2024-10-27,58
2024-11-03,52
2024-11-10,60
2024-11-17,63
2024-11-24,51
2024-12-01,55
2024-12-08,55
2024-12-15,48
2024-12-22,33
2024-12-29,40
2025-01-05,43
2025-01-12,53
2025-01-19,52
2025-01-26,56
2025-02-02,56
2025-02-09,57
2025-02-16,57
2025-02-23,57
2025-03-02,58
2025-03-09,67
2025-03-16,61
2025-03-23,59
2025-03-30,61
2025-04-06,63
2025-04-13,54
