Kategorie: Alle Kategorien

Woche,novo nordisk: (Vereinigtes Königreich)
2020-04-05,10
2020-04-12,13
2020-04-19,17
2020-04-26,16
2020-05-03,16
2020-05-10,14
2020-05-17,16
2020-05-24,14
2020-05-31,11
2020-06-07,14
2020-06-14,13
2020-06-21,14
2020-06-28,10
2020-07-05,12
2020-07-12,12
2020-07-19,10
2020-07-26,10
2020-08-02,15
2020-08-09,12
2020-08-16,11
2020-08-23,14
2020-08-30,13
2020-09-06,12
2020-09-13,14
2020-09-20,15
2020-09-27,14
2020-10-04,14
2020-10-11,14
2020-10-18,12
2020-10-25,13
2020-11-01,14
2020-11-08,14
2020-11-15,11
2020-11-22,13
2020-11-29,14
2020-12-06,14
2020-12-13,11
2020-12-20,10
2020-12-27,5
2021-01-03,12
2021-01-10,14
2021-01-17,11
2021-01-24,12
2021-01-31,14
2021-02-07,23
2021-02-14,13
2021-02-21,9
2021-02-28,11
2021-03-07,15
2021-03-14,12
2021-03-21,14
2021-03-28,16
2021-04-04,10
2021-04-11,8
2021-04-18,10
2021-04-25,15
2021-05-02,14
2021-05-09,11
2021-05-16,12
2021-05-23,13
2021-05-30,12
2021-06-06,18
2021-06-13,10
2021-06-20,10
2021-06-27,10
2021-07-04,15
2021-07-11,11
2021-07-18,14
2021-07-25,14
2021-08-01,16
2021-08-08,13
2021-08-15,9
2021-08-22,12
2021-08-29,13
2021-09-05,14
2021-09-12,14
2021-09-19,13
2021-09-26,12
2021-10-03,12
2021-10-10,13
2021-10-17,15
2021-10-24,15
2021-10-31,16
2021-11-07,17
2021-11-14,14
2021-11-21,15
2021-11-28,17
2021-12-05,12
2021-12-12,14
2021-12-19,17
2021-12-26,7
2022-01-02,12
2022-01-09,18
2022-01-16,12
2022-01-23,11
2022-01-30,15
2022-02-06,20
2022-02-13,14
2022-02-20,13
2022-02-27,20
2022-03-06,20
2022-03-13,17
2022-03-20,13
2022-03-27,17
2022-04-03,13
2022-04-10,15
2022-04-17,12
2022-04-24,16
2022-05-01,14
2022-05-08,15
2022-05-15,15
2022-05-22,15
2022-05-29,14
2022-06-05,14
2022-06-12,16
2022-06-19,13
2022-06-26,13
2022-07-03,14
2022-07-10,25
2022-07-17,14
2022-07-24,15
2022-07-31,19
2022-08-07,18
2022-08-14,15
2022-08-21,17
2022-08-28,16
2022-09-04,17
2022-09-11,15
2022-09-18,15
2022-09-25,18
2022-10-02,17
2022-10-09,17
2022-10-16,16
2022-10-23,16
2022-10-30,23
2022-11-06,24
2022-11-13,18
2022-11-20,22
2022-11-27,17
2022-12-04,18
2022-12-11,21
2022-12-18,12
2022-12-25,9
2023-01-01,15
2023-01-08,23
2023-01-15,22
2023-01-22,24
2023-01-29,28
2023-02-05,34
2023-02-12,29
2023-02-19,21
2023-02-26,25
2023-03-05,36
2023-03-12,38
2023-03-19,34
2023-03-26,23
2023-04-02,18
2023-04-09,21
2023-04-16,30
2023-04-23,27
2023-04-30,22
2023-05-07,27
2023-05-14,22
2023-05-21,23
2023-05-28,21
2023-06-04,24
2023-06-11,24
2023-06-18,20
2023-06-25,28
2023-07-02,21
2023-07-09,21
2023-07-16,22
2023-07-23,25
2023-07-30,20
2023-08-06,78
2023-08-13,33
2023-08-20,27
2023-08-27,34
2023-09-03,80
2023-09-10,63
2023-09-17,48
2023-09-24,39
2023-10-01,37
2023-10-08,55
2023-10-15,52
2023-10-22,37
2023-10-29,44
2023-11-05,47
2023-11-12,48
2023-11-19,47
2023-11-26,36
2023-12-03,39
2023-12-10,39
2023-12-17,30
2023-12-24,24
2023-12-31,41
2024-01-07,37
2024-01-14,45
2024-01-21,42
2024-01-28,70
2024-02-04,75
2024-02-11,64
2024-02-18,61
2024-02-25,62
2024-03-03,89
2024-03-10,75
2024-03-17,52
2024-03-24,52
2024-03-31,45
2024-04-07,52
2024-04-14,49
2024-04-21,44
2024-04-28,81
2024-05-05,51
2024-05-12,81
2024-05-19,58
2024-05-26,45
2024-06-02,61
2024-06-09,51
2024-06-16,49
2024-06-23,55
2024-06-30,57
2024-07-07,49
2024-07-14,51
2024-07-21,53
2024-07-28,44
2024-08-04,60
2024-08-11,37
2024-08-18,36
2024-08-25,48
2024-09-01,45
2024-09-08,39
2024-09-15,45
2024-09-22,59
2024-09-29,61
2024-10-06,55
2024-10-13,52
2024-10-20,47
2024-10-27,51
2024-11-03,74
2024-11-10,52
2024-11-17,57
2024-11-24,52
2024-12-01,51
2024-12-08,41
2024-12-15,100
2024-12-22,59
2024-12-29,37
2025-01-05,60
2025-01-12,71
2025-01-19,79
2025-01-26,61
2025-02-02,88
2025-02-09,58
2025-02-16,62
2025-02-23,54
2025-03-02,53
2025-03-09,61
2025-03-16,53
2025-03-23,59
2025-03-30,54
2025-04-06,73
