Kategorie: Alle Kategorien

Woche,anorexia: (Vereinigte Staaten)
2020-04-05,75
2020-04-12,76
2020-04-19,74
2020-04-26,83
2020-05-03,78
2020-05-10,73
2020-05-17,67
2020-05-24,64
2020-05-31,62
2020-06-07,66
2020-06-14,69
2020-06-21,75
2020-06-28,70
2020-07-05,68
2020-07-12,68
2020-07-19,67
2020-07-26,67
2020-08-02,63
2020-08-09,62
2020-08-16,61
2020-08-23,56
2020-08-30,64
2020-09-06,66
2020-09-13,71
2020-09-20,71
2020-09-27,72
2020-10-04,83
2020-10-11,75
2020-10-18,77
2020-10-25,77
2020-11-01,63
2020-11-08,76
2020-11-15,81
2020-11-22,65
2020-11-29,74
2020-12-06,85
2020-12-13,75
2020-12-20,65
2020-12-27,57
2021-01-03,62
2021-01-10,62
2021-01-17,59
2021-01-24,66
2021-01-31,68
2021-02-07,63
2021-02-14,64
2021-02-21,74
2021-02-28,77
2021-03-07,72
2021-03-14,67
2021-03-21,72
2021-03-28,69
2021-04-04,73
2021-04-11,83
2021-04-18,76
2021-04-25,80
2021-05-02,91
2021-05-09,81
2021-05-16,72
2021-05-23,65
2021-05-30,68
2021-06-06,63
2021-06-13,67
2021-06-20,67
2021-06-27,62
2021-07-04,62
2021-07-11,63
2021-07-18,67
2021-07-25,68
2021-08-01,62
2021-08-08,58
2021-08-15,58
2021-08-22,54
2021-08-29,49
2021-09-05,54
2021-09-12,59
2021-09-19,63
2021-09-26,66
2021-10-03,69
2021-10-10,69
2021-10-17,69
2021-10-24,70
2021-10-31,77
2021-11-07,71
2021-11-14,76
2021-11-21,62
2021-11-28,74
2021-12-05,75
2021-12-12,66
2021-12-19,54
2021-12-26,52
2022-01-02,62
2022-01-09,65
2022-01-16,72
2022-01-23,65
2022-01-30,67
2022-02-06,73
2022-02-13,74
2022-02-20,85
2022-02-27,77
2022-03-06,79
2022-03-13,82
2022-03-20,92
2022-03-27,90
2022-04-03,86
2022-04-10,87
2022-04-17,86
2022-04-24,92
2022-05-01,85
2022-05-08,80
2022-05-15,80
2022-05-22,72
2022-05-29,72
2022-06-05,69
2022-06-12,67
2022-06-19,66
2022-06-26,63
2022-07-03,67
2022-07-10,72
2022-07-17,68
2022-07-24,65
2022-07-31,63
2022-08-07,64
2022-08-14,58
2022-08-21,64
2022-08-28,65
2022-09-04,67
2022-09-11,70
2022-09-18,75
2022-09-25,76
2022-10-02,79
2022-10-09,75
2022-10-16,86
2022-10-23,88
2022-10-30,81
2022-11-06,75
2022-11-13,81
2022-11-20,69
2022-11-27,85
2022-12-04,84
2022-12-11,81
2022-12-18,58
2022-12-25,52
2023-01-01,73
2023-01-08,75
2023-01-15,74
2023-01-22,72
2023-01-29,79
2023-02-05,81
2023-02-12,87
2023-02-19,79
2023-02-26,82
2023-03-05,83
2023-03-12,82
2023-03-19,83
2023-03-26,87
2023-04-02,79
2023-04-09,85
2023-04-16,89
2023-04-23,80
2023-04-30,80
2023-05-07,71
2023-05-14,69
2023-05-21,67
2023-05-28,67
2023-06-04,63
2023-06-11,68
2023-06-18,63
2023-06-25,70
2023-07-02,68
2023-07-09,70
2023-07-16,65
2023-07-23,62
2023-07-30,63
2023-08-06,60
2023-08-13,58
2023-08-20,55
2023-08-27,63
2023-09-03,59
2023-09-10,68
2023-09-17,70
2023-09-24,82
2023-10-01,74
2023-10-08,75
2023-10-15,78
2023-10-22,100
2023-10-29,80
2023-11-05,85
2023-11-12,80
2023-11-19,64
2023-11-26,78
2023-12-03,87
2023-12-10,77
2023-12-17,59
2023-12-24,49
2023-12-31,55
2024-01-07,62
2024-01-14,63
2024-01-21,66
2024-01-28,70
2024-02-04,72
2024-02-11,74
2024-02-18,75
2024-02-25,77
2024-03-03,76
2024-03-10,76
2024-03-17,81
2024-03-24,78
2024-03-31,72
2024-04-07,75
2024-04-14,80
2024-04-21,91
2024-04-28,75
2024-05-05,72
2024-05-12,64
2024-05-19,61
2024-05-26,57
2024-06-02,58
2024-06-09,59
2024-06-16,58
2024-06-23,60
2024-06-30,56
2024-07-07,58
2024-07-14,58
2024-07-21,57
2024-07-28,54
2024-08-04,52
2024-08-11,49
2024-08-18,52
2024-08-25,55
2024-09-01,54
2024-09-08,59
2024-09-15,67
2024-09-22,70
2024-09-29,71
2024-10-06,78
2024-10-13,74
2024-10-20,75
2024-10-27,82
2024-11-03,73
2024-11-10,77
2024-11-17,85
2024-11-24,74
2024-12-01,89
2024-12-08,78
2024-12-15,61
2024-12-22,45
2024-12-29,49
2025-01-05,61
2025-01-12,60
2025-01-19,55
2025-01-26,60
2025-02-02,64
2025-02-09,64
2025-02-16,70
2025-02-23,83
2025-03-02,76
2025-03-09,73
2025-03-16,68
2025-03-23,69
2025-03-30,71
2025-04-06,74
