Category: All categories

Week,ozempic: (United States)
2020-04-12,2
2020-04-19,2
2020-04-26,2
2020-05-03,2
2020-05-10,3
2020-05-17,3
2020-05-24,2
2020-05-31,3
2020-06-07,3
2020-06-14,3
2020-06-21,3
2020-06-28,2
2020-07-05,3
2020-07-12,3
2020-07-19,3
2020-07-26,3
2020-08-02,3
2020-08-09,3
2020-08-16,3
2020-08-23,3
2020-08-30,3
2020-09-06,3
2020-09-13,3
2020-09-20,3
2020-09-27,3
2020-10-04,3
2020-10-11,3
2020-10-18,4
2020-10-25,3
2020-11-01,3
2020-11-08,4
2020-11-15,4
2020-11-22,3
2020-11-29,3
2020-12-06,3
2020-12-13,3
2020-12-20,2
2020-12-27,3
2021-01-03,3
2021-01-10,4
2021-01-17,4
2021-01-24,4
2021-01-31,4
2021-02-07,5
2021-02-14,5
2021-02-21,5
2021-02-28,4
2021-03-07,5
2021-03-14,5
2021-03-21,5
2021-03-28,4
2021-04-04,6
2021-04-11,6
2021-04-18,5
2021-04-25,5
2021-05-02,5
2021-05-09,5
2021-05-16,5
2021-05-23,5
2021-05-30,6
2021-06-06,9
2021-06-13,7
2021-06-20,7
2021-06-27,7
2021-07-04,7
2021-07-11,7
2021-07-18,6
2021-07-25,6
2021-08-01,7
2021-08-08,6
2021-08-15,7
2021-08-22,7
2021-08-29,7
2021-09-05,6
2021-09-12,7
2021-09-19,7
2021-09-26,7
2021-10-03,7
2021-10-10,7
2021-10-17,7
2021-10-24,7
2021-10-31,7
2021-11-07,7
2021-11-14,8
2021-11-21,6
2021-11-28,7
2021-12-05,7
2021-12-12,7
2021-12-19,6
2021-12-26,6
2022-01-02,8
2022-01-09,8
2022-01-16,8
2022-01-23,8
2022-01-30,9
2022-02-06,10
2022-02-13,10
2022-02-20,10
2022-02-27,9
2022-03-06,10
2022-03-13,10
2022-03-20,10
2022-03-27,9
2022-04-03,10
2022-04-10,9
2022-04-17,10
2022-04-24,10
2022-05-01,11
2022-05-08,15
2022-05-15,13
2022-05-22,12
2022-05-29,12
2022-06-05,15
2022-06-12,14
2022-06-19,15
2022-06-26,15
2022-07-03,14
2022-07-10,16
2022-07-17,16
2022-07-24,18
2022-07-31,17
2022-08-07,18
2022-08-14,18
2022-08-21,18
2022-08-28,17
2022-09-04,15
2022-09-11,18
2022-09-18,21
2022-09-25,18
2022-10-02,19
2022-10-09,24
2022-10-16,30
2022-10-23,25
2022-10-30,24
2022-11-06,24
2022-11-13,35
2022-11-20,27
2022-11-27,26
2022-12-04,29
2022-12-11,25
2022-12-18,34
2022-12-25,31
2023-01-01,38
2023-01-08,40
2023-01-15,47
2023-01-22,61
2023-01-29,58
2023-02-05,51
2023-02-12,52
2023-02-19,52
2023-02-26,59
2023-03-05,63
2023-03-12,73
2023-03-19,67
2023-03-26,59
2023-04-02,67
2023-04-09,66
2023-04-16,62
2023-04-23,62
2023-04-30,65
2023-05-07,63
2023-05-14,68
2023-05-21,83
2023-05-28,74
2023-06-04,88
2023-06-11,90
2023-06-18,79
2023-06-25,76
2023-07-02,67
2023-07-09,66
2023-07-16,66
2023-07-23,68
2023-07-30,62
2023-08-06,60
2023-08-13,62
2023-08-20,54
2023-08-27,52
2023-09-03,49
2023-09-10,48
2023-09-17,57
2023-09-24,59
2023-10-01,58
2023-10-08,55
2023-10-15,54
2023-10-22,58
2023-10-29,54
2023-11-05,59
2023-11-12,53
2023-11-19,50
2023-11-26,55
2023-12-03,58
2023-12-10,69
2023-12-17,64
2023-12-24,64
2023-12-31,68
2024-01-07,59
2024-01-14,63
2024-01-21,65
2024-01-28,63
2024-02-04,63
2024-02-11,60
2024-02-18,75
2024-02-25,75
2024-03-03,81
2024-03-10,82
2024-03-17,95
2024-03-24,79
2024-03-31,91
2024-04-07,68
2024-04-14,78
2024-04-21,95
2024-04-28,86
2024-05-05,91
2024-05-12,100
2024-05-19,98
2024-05-26,100
2024-06-02,80
2024-06-09,80
2024-06-16,84
2024-06-23,82
2024-06-30,91
2024-07-07,73
2024-07-14,67
2024-07-21,68
2024-07-28,76
2024-08-04,64
2024-08-11,68
2024-08-18,72
2024-08-25,71
2024-09-01,67
2024-09-08,70
2024-09-15,64
2024-09-22,64
2024-09-29,60
2024-10-06,55
2024-10-13,61
2024-10-20,64
2024-10-27,59
2024-11-03,53
2024-11-10,60
2024-11-17,60
2024-11-24,62
2024-12-01,60
2024-12-08,57
2024-12-15,59
2024-12-22,63
2024-12-29,74
2025-01-05,68
2025-01-12,61
2025-01-19,57
2025-01-26,66
2025-02-02,58
2025-02-09,63
2025-02-16,64
2025-02-23,65
2025-03-02,63
2025-03-09,64
2025-03-16,60
2025-03-23,60
2025-03-30,58
2025-04-06,56
2025-04-13,59
